GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ZooGroup03,edu.nwmissouri.zoo03group,EmployeeCareTaker,0,26,0,0,0,8,0,5,0,5
ZooGroup03,edu.nwmissouri.zoo03group,ChildVisitor,0,24,0,0,0,10,0,5,0,5
ZooGroup03,edu.nwmissouri.zoo03group,StudentVisitor,0,20,0,0,0,8,0,4,0,4
ZooGroup03,edu.nwmissouri.zoo03group,AnimalGender,27,0,0,0,5,0,1,0,1,0
ZooGroup03,edu.nwmissouri.zoo03group,Visitor,0,32,0,0,0,14,0,6,0,6
ZooGroup03,edu.nwmissouri.zoo03group,AbstractPerson,8,12,0,0,1,5,1,1,1,1
ZooGroup03,edu.nwmissouri.zoo03group,EmployeeCategory,0,27,0,0,0,5,0,1,0,1
ZooGroup03,edu.nwmissouri.zoo03group,SeniorCitizenVisitor,0,24,0,0,0,10,0,5,0,5
ZooGroup03,edu.nwmissouri.zoo03group,EmployeeGuide,0,30,0,0,0,12,0,6,0,6
ZooGroup03,edu.nwmissouri.zoo03group,EmployeeRescueOperators,0,30,0,0,0,12,0,6,0,6
ZooGroup03,edu.nwmissouri.zoo03group,ZooMaintainer,0,30,0,0,0,12,0,6,0,6
ZooGroup03,edu.nwmissouri.zoo03group,FirstTimeVisitor,0,16,0,0,0,6,0,3,0,3
ZooGroup03,edu.nwmissouri.zoo03group,Employee,0,46,0,0,0,20,0,8,0,8
ZooGroup03,edu.nwmissouri.zoo03group,App,265,0,0,0,86,0,13,0,13,0
ZooGroup03,edu.nwmissouri.zoo03group,VisitorCategory,0,33,0,0,0,6,0,1,0,1
ZooGroup03,edu.nwmissouri.zoo03group,Animal,30,0,0,0,13,0,6,0,6,0
ZooGroup03,edu.nwmissouri.zoo03group,AdultVisitor,0,20,0,0,0,8,0,4,0,4
